Key,Id,Shared Comments,Croatian (Croatia)(hr-HR),Croatian (Croatia)(hr-HR) Comments,English (United States)(en-US),English (United States)(en-US) Comments,German (Germany)(de-DE),German (Germany)(de-DE) Comments,Indonesian (Indonesia)(id-ID),Indonesian (Indonesia)(id-ID) Comments,Japanese (Japan)(ja-JP),Japanese (Japan)(ja-JP) Comments,Custom(nya-UWU),Custom(nya-UWU) Comments,Polish(pl),Polish(pl) Comments,Russian (Russia)(ru-RU),Russian (Russia)(ru-RU) Comments,"Serbian (Cyrillic, Serbia)(sr-Cyrl-RS)","Serbian (Cyrillic, Serbia)(sr-Cyrl-RS) Comments",Vietnamese (Vietnam)(vi-VN),Vietnamese (Vietnam)(vi-VN) Comments,Custom(ze-ZE),Custom(ze-ZE) Comments,Czech(cs),Czech(cs) Comments,French(fr),French(fr) Comments,Italian(it),Italian(it) Comments,Portuguese (Brazil)(pt-BR),Portuguese (Brazil)(pt-BR) Comments,Spanish(es),Spanish(es) Comments
"Song name (Romanized)",2247369245175808,"","Ime pjesme (Latinica)","","Song name (Romanized)","","Lied Name (romanisiert)","","Nama lagu (Latin)","","曲名前 (ローマ字綴り)","","song meow name roman","","Nazwa piosenki (zromanizowane)","","Название (латинский)","","Име песме (Латиница)","","Tên bài nhạc (Romaji)","","Nomé tóntra (Romanírka)","","Název písně (Romanizováno)","","Nom de la chanson (romanisé)","","Nome della canzone (romanizzato)","","Título da música (Romanizado)","","Nombre de la canción (Romanizado)",""
"Song BPM (number)",2247383707136000,"","BPM pjesme (broj)","","Song BPM (number)","","Lied BPM (Nummer)","","BPM Lagu (nomor)","","曲テンポ (番号)","","how fast","","BPM piosenki (liczba)","","BPM песни (число)","","BPM Песме (број)","","Số BPM (số)","","BPM tóntra (nombra)","","BPM písně (číslo)","","BPM de la chanson (nombre)","","BPM della canzone (numero)","","BPM da música (número)","","BPM de la canción (número)",""
"Marker offset (ms)",2247408503861248,"","Ofset markera BPM-a (ms)","","Marker offset (ms)","","Markierungen Vorlauf (ms)","","Offset Penanda (ms)","","マーカーオフセット (ミリ秒)","","meowww offset","","Opóźnienie znaczników (ms)","","Оффсет (мс)","","Офсет маркера (ms)","","Độ trễ cột mốc (mili giây)","","Ófset markóra (ms)","","Posun značek (ms)","","Décalage du marqueur (ms)","","Spostamento del marcatore (ms)","","Marcador de offset (ms)","","Desviación/Offset del marcador (ms)",""
"Playback",2247442930708480,"","Reprodukcija","","Playback","","Wiedergabe","","Pemutaran ulang","","プレイバック","","pureibakku meow","","Playback","","Повтор","","Плејбек","","Playback","","Plejbek","","Přehrávání","","Lecture","","Riproduzione","","Reproduzir","","Reproducir",""
"Marker multiplier",2247458533519360,"","Množina markera","","Marker multiplier","","Markierungen Multiplikator","","Pengganda penanda","","マーカー乗数","","mawkaw","","Mnożnik znaczników","","Множитель маркеров","","Множина маркера","","Marker multiplier","","Múltiplár markóra","","Násobitel značek","","Multiplicateur de marqueurs","","Moltiplicatore di marcatori","","Multiplicador de marcadores","","Multiplicador del marcador",""
"Select",2247473800785920,"","Izaberi","","Select","","Auswählen","","Select","","選択","","sewekt","","Zaznacz","","Выбрать","","Одабери","","Chọn","","Seléktê","","Vybrat","","Sélectionner","","Selezionare","","Selecionar","","Seleccionar",""
"Cancel",2247490611556352,"","Odustani","","Cancel","","Zurück","","Batalkan","","キャンセル","","Mreow...","","Anuluj","","Отменить","","Одустани","","Hủy","","Anúla","","zrušit","","Annuler","","Cancellare","","Cancelar","","Cancelar",""
"Show hidden files",2247512019283968,"","Pokaži skrivene fajlove","","Show hidden files","","Zeige versteckte Dateien","","Tampilkan file tersembunyi ","","隠されたファイルを見せる","","Where they hidingg?","","Pokaż ukryte pliki","","Показать скрытые файлы","","Покажи скривене фајлове","","Hiện file ẩn","","Móstra filóra skríta","","Ukazovat schované soubory","","Afficher les fichiers cachés","","Mostra file nascosti","","Mostrar arquivos ocultos","","Mostrar archivos ocultos",""
"Search...",2247524937740288,"","Pretraži...","","Search...","","Suche nach...","","Pencaharian...","","探す... ","","what r u meowing for?","","Szukaj... ","","Искать...","","Претражи...","","Tìm…","","Šerchá...","","Hledat...","","Recherche...","","Ricerca...","","Pesquisar...","","Buscar...",""
"Hide playing status",2500561184997376,"","Skrivaj status igranja","","Hide playing status","","Verstecke spiel Status","","Sembunyikan status bermain","","プレイ現状を隠す","","secret play!","","Ukryj status gry","","Скрыть игровой статус","","Сакриј статус играња","","Ẩn trạng thái chơi ","","Skritar státús kraxtêna","","Skrýt herní status","","Masquer le statut de jeu","","Nascondi stato di riproduzione","","Ocultar status de jogando","","Esconder el estado de jugando",""
"Hide currently playing level",2500577794441216,"","Skrivaj ""trenutno igranje""","","Hide currently playing level","","Verstecke derzeitig spielendes Level","","Sembunyikan status level yang dimainkan","","今のプレイ中のレベルを隠す","","secret player","","Ukryj teraźniejszy poziom gry","","Не показывать играемый уровень","","Сакриј ""тренутно играње""","","Ẩn màn đang chơi","","Skritar levéla kraxtêna","","Skrýt aktuálně hraný level","","Masquer le niveau de jeu actuel","","Nascondi il livello in riproduzione","","Ocultar jogando nível","","Esconder el nivel que se está jugando",""
"Hide AFK Mode",2500606051467264,"","Skrivaj AFK mod","","Hide AFK Mode","","Verstecke AFK Modus","","Sembunyikan mode AFK","","AFKモードを隠す","","secret afk","","Ukryj tryb AFK","","Не показывать AFK режим","","Сакриј AFK мод","","Ẩn chế độ AFK","","Skritar módša AFK","","Skrýt AFK mód","","Masquer le mode AFK","","Nascondi modalità AFK","","Ocultar modo AFK","","Esconder modo AFK",""
"Hide currently editing level",2500635977826304,"","Skrivaj ""trenutno uređivanje""","","Hide currently editing level","","Verstecke derzeit bearbeitendes Level","","Sembunyikan status edit level ","","今の編集中のレベルを隠す","","secret editor","","Ukryj teraźniejszy edytowany poziom","","Не показывать редактирование уровня","","Сакриј ""тренутно уређивање""","","Ẩn màn đang chỉnh sửa","","Skritar levéla shrâvena","","krýt aktuálně upravovaný level","","Masquer le niveau d'édition en cours","","Nascondi il livello di modifica attuale","","Ocultar editando nível","","Esconder el nivel que se está editando",""
"mapper",2500697919307776,"","kreator","","mapper","","mapper","","mapper","","マッパー","","meower","","autorzy","","создатель","","креатор","","người tạo màn","","Mápór","","charter","","cartographe","","mappatore","","mapper","","mapeador",""
"mapped by ",2500710737100800,"","kreirao","","mapped by ","","gemapped von","","di map oleh","","マップ作成者:","","meowed by","","zmapowane przez","","сделано","","креирао","","tạo bởi ","","Mápéna dó","","chartováno","","cartographié par","","mappato da","","mapeado por","","mapeado por",""
"Local ID",2500722212716544,"","Lokalni ID","","Local ID","","Lokale ID","","ID Lokal","","地元のID","","Local ID","","Lokalne ID","","Локальный ID","","Локални ID","","ID màn","","ID Lókala","","Mistní ID","","ID local","","ID locale","","ID Local","","ID local",""
"last saved on ",2500748318064640,"","zadnje spremljeno","","last saved on ","","zuletzt gespeichert auf","","Terakhir disimpan","","に前回セーブされた","","last meowed at","","zapisane ostatnio","","последний раз сохранено в","","задње уређивано","","lần cuối lưu vào","","Últíma skríva en","","Posledně uložené","","dernière sauvegarde le","","ultimo salvataggio il","","salvo pela última vez em","","última vez guardado en",""
"Credits",2500982360227840,"","Zahvale","","Credits","","Credits","","Credits","","クレジット","","who meows!","","Autorzy","","Благодарности","","Захвале","","Tín dụng","","Kréditár","","Poděkování","","Crédits","","Crediti","","Créditos","","Créditos",""
"Devs and Staff",2500992455917568,"","Developeri i pomagači","","Devs and Staff","","Entwickler und Team","","Devs dan staf","","開発者とスタッフ","","Purrfections!","","Deweloperzy i kadra","","Разработчики и администраторы","","Девелопери и помоћ","","Những người hỗ trợ phát triển","","Dévákar a stafka","","Vývojáři a personál","","Développeurs et personnel","","Sviluppatori e personale","","Desenvolvedores e equipe","","Desarrolladores y personal",""
"Featured Artists",2501015948214272,"","Istaknuti Izvođači","","Featured Artists","","Featured Artists","","Artis unggulan ","","フィーチャーされた作曲家","","meows and mrrps!","","Wyróżnieni artyści","","Отмеченные артисты","","Истакнути уметници","","Nghệ sĩ phối hợp","","Artístka Prézentáda","","Účinkující umělci","","Artistes en vedette","","Artisti in evidenza","","Artistas em destaque","","Artistas destacados",""
"Programs used to make Jammer Dash",2501050471530496,"","Programi korišteni za programiranje Jammer Dash-a","","Programs used to make Jammer Dash","","Programme genutzt bei der Entwicklung von Jammer Dash","","Program yang dipakai dalam pembuatan Jammer Dash","","ジャマーダッシュを作るために利用されたソフト","","tools :3","","Oprogramowanie użyte w trakcie tworzenia Jammer Dash","","Использованные для создания Jammer Dash программы","","Програми кориштени за програмирање Јаmmer Dash-а","","Các chương trình được dùng để tạo ra Jammer Dash","","Prógramar uzéna fá Jámor Dáša","","Programy použité k vytvoření hry Jammer Dash","","Programmes utilisés pour créer Jammer Dash","","Programmi utilizzati per realizzare Jammer Dash","","Programas usados na produção de Jammer Dash","","Programas usados para hacer Jammer Dash",""
"Open the player logs",2501076245528576,"","Upali logove igrača","","Open the player logs","","Öffne die player logs","","Buka log pemain","","プレイヤーログを開いて","","wogs","","Otwórz rejestr gracza","","Открыть логи игрока","","Отвори logs","","Mở log người chơi","","Otvarar lógar plejára","","Otevřít log hráče","","Ouvrir les journaux des joueurs","","Aprire i registri del giocatore","","Abrir logs de jogador","","Abrir el registro del jugador",""
"Open the settings.json",2501106243190784,"","Upali settings.json","","Open the settings.json","","Öffne die settings.json","","Buka settings.json","","settings.jsonを開いて","","fiws","","Otwórz settings.json","","Открыть settings.json","","Отвори settings.json","","Mở file cài đặt","","Otvarar settings.json","","Otevřít settings.json","","Ouvrez le fichier settings.json","","Apri il file settings.json","","Abrir settings.json","","Abrir el settings.json",""
"Jams",2501183821037568,"","Džemovi","","Jams","","Jams","","Jams","","ジャム","","yummies","","Jamy","","Джемы","","Џземови","","Mứt","","Jámar","","Jamů","","Confitures","","Marmellate","","Jams","","Jams",""
"Performance",2501209586647040,"","Performansa","","Performance","","Performance","","Performa","","性能","","performers","","Wyniki","","Навык","","Перформанса","","Điểm kỹ năng","","Performánka","","Výkon","","Performance","","Prestazione","","Performance","","Rendimiento",""
"Accuracy",2501230793048064,"","Točnost","","Accuracy","","Accuracy","","Akurasi","","精度","","happy!","","Precyzyjność","","Точность","","Точност","","Độ chính xác","","Aküráty","","Přesnost","","Précision","","Precisione","","Precisão","","Precisión",""
"Background Color",2501241060704256,"","Pozadinska boja","","Background Color","","Hintergrund Farbe","","Warna Background ","","背景の色","","bg cowors!!","","Kolor tła","","Цвет заднего фона","","Боја позадине","","Màu nền","","Kolóra dó bakgrónda","","Barva pozadí","","Couleur d'arrière-plan","","Colore di sfondo","","Cor do fundo","","Color del Fondo",""
"Change color",2501271393910784,"","Promijeni boju","","Change color","","Ändere Farbe","","Ubah warna","","色を変える","","change cowor","","Zmień kolor","","Изменить цвет","","Промени боју","","Đổi màu","","Shrávê kolóra","","Změnit barvu","","Changer de couleur","","Cambiare colore","","Mudar cor","","Cambiar Color",""
"Insert HEX Code",2501289848848384,"","Unesi HEX kod","","Insert HEX Code","","füge HEX Code ein","","Masukan HEX Code","","十六進を入れて","","scary 6 numbers,,,","","Wpisz kod HEX","","Вставить HEX код","","Унеси HEX Код","","Nhập mã Hex","","Inzertar kóda HEX","","Vložte HEX kód","","Insérer le code HEX","","Inserisci codice HEX","","Inserir código HEX","","Insertar Código HEX",""
"to expand",2501322803494912,"","da povećaš","","to expand","","zum Erweitern","","tampilkan","","を押したら膨らます","","to expand","","rozszerzenie","","чтобы развернуть","","да увећаш","","để mở rộng","","fá expanda","","to expand","","étendre","","espandere","","para expandir","","para expandir",""
"Health",2573297709166592,"","performansa","","performance","","lebenspunkte","","performa","","体力/性能","","meows","","zdrowie","","здоровье","","животни поени","","hp","","performánka","","životy","","santé","","salute","","performance","","salud",""
"Score",2573474192896000,"","bodovi","","score","","punkte","","nilai","","ポイント","","scor!","","wynik","","счёт","","поени","","điểm","","skóra","","skóre","","score","","punto","","pontuação","","puntuación",""
"Combo",2573727289782272,"","kombo","","combo","","combo","","combo","","コンボ","","combooooooooooo! mewo!","","kombo","","комбо","","комбо","","combo","","kómbó","","combo","","combo","","combinazione","","combo","","combo",""
"Continue",2574255201660928,"","Nastavi","","Continue","","Weiter","","Lanjutkan ","","続ける","","go","","Kontynuuj ","","Продолжить","","Настави","","Tiếp tục","","Kontínyar","","Pokračovat","","Continuer","","Continuare","","Continuar","","Continuar",""
"Restart",2574294158356480,"","Ponovno pokreni","","Restart","","Neustart","","Restart","","やり直す","","repeat","","Restartuj","","Начать заново","","Рестарт","","Bắt đầu lại","","Reštárta","","Restartovat","","Redémarrage","","Ricomincia","","Reiniciar","","Reiniciar",""
"Back to Menu",2574306774822912,"","Povratak na izbornik","","Back to Menu","","Zurück zum Menu","","Balik ke menu","","ログインしたユーザー:","","meow to menu","","Wróć do menu","","Назад в Меню","","Назад на мену","","Về màn hình chính","","Rókar dó menü","","Zpět do menu","","Retour au menu","","Torna al menu","","Voltar ao menu","","Regresar al Menú",""
"Failed",2574527961444352,"","Izgubio si","","Failed","","Fehlgeschlagen","","Gagal","","不合格","","Oof!","","Nie udało Ci się","","Провал","","Изгубио си","","THẤT BẠI","","Fályar","","Failed","","Échoué","","Fallito","","Falhou","","Fallido",""
"There's always another time! Maybe it's after you restart?",2575739440017408,"","Uvijek ima druga šansa! Možda ako restartuješ?","","There's always another time! Maybe it's after you restart?",""," Es gibt immer ein nächstes Mal! Vielleicht nach diesem Neustart?","","Pasti ada waktu lain. Mungkin coba lagi?","","いつも今度がある！たぶんやり直すとき？","","soon beat dw!!!","","Zawsze możesz spróbować ponownie! 
Może uda Ci się po restarcie?","","Всегда есть шанс пройти! Может он случится на следующей попытке?","","Увек има други пут! Можда ако поновиш левел?","","Cố lên, bạn vẫn còn lần sau mà!","","Šempre ína tempra próxima! Kvíz és déspa reštárta?","","Vždy máte další šanci! Možná to zkuste ještě jednou?","","Il y a toujours un autre moment ! Peut-être après avoir redémarré ?","","C'è sempre un altro momento! Forse è dopo che hai riavviato?","","Existe sempre uma próxima vez! Talvez você consiga se tentar de novo?","","¡Siempre hay otra oportunidad! ¿Tal vez al reiniciar?",""
"Level complete!",2575789129936896,"","Level završen!","","Level complete!","","Level geschafft!","","Level selesai!","","レベルを合格した！","","gg!!!!!!!!!!!!!!!!!!!","","Poziom ukończony!","","Уровень пройден!","","Левел завршен","","HOÀN THÀNH","","Levéla kompletar!","","Level dokončen!","","Niveau terminé !","","Livello completato!","","Nível completo!","","¡Nivel completo!",""
"played by",2575999075823616,"","igrao","","played by","","gespielt von","","dimainkan oleh","","プレイしたレベル:","","played by","","grany przez","","сыграл(а)","","играо","","Chơi bởi","","Kraxtêna dó","","Hráno hráčem","","joué par","","interpretato da","","jogado por","","jugado por",""
"Shaders",11238275445010432,"","Shaderi","","Shaders","","Shader","","Shaders","","シェーダー","","cute effects!!","","Shadery","","Шейдеры","","Шејдери","","Trình đổ bóng","","Šeyder","","Shadery","","Shaders","","Shaders","","Shaders","","Shaders",""
"Account settings",13013787829972992,"","Postavke računa","","Account settings","","Kontoeinstellungen","","Pengaturan akun","","アカウント設定","","account tweaks!","","Ustawienia konta","","Настройки учетной записи","","Поставке рачуна","","Cài đặt tài khoản","","Skeytár kontá","","Nastavení účtu","","Paramètres du compte","","Impostazioni dell'account","","Configurações de Conta","","Configuraciones - Cuenta",""
"Log in",13369743621337088,"","Prijavi se","","Log in","","Einloggen","","Masuk","","ログイン","","join account!!!","","Zaloguj się","","Авторизоваться","","Улогирај се","","Đi vào","","Log in","","Přihlaste se","","Se connecter","","Login","","Conecte-se","","Acceso",""
"Display country region",13371624351444992,"","Pokaži županije","","Display country region","","Ländereinteilungen anzeigen","","Menampilkan provinsi","","都道府県を表示","","display meow country!","","Wyświetl województwa","","Посмотреть состояния","","Покажи округ","","Hiển thị các thành phố","","Móstra províntar","","Zobrazit oblast země","","Afficher la région du pays","","Visualizza la regione del paese","","Exibir estados do país","","Mostrar estados del país",""
"Logged in as",13374434543513600,"","Ulogiran kao","","Logged in as","","Angemeldet als","","Masuk sebagai","","としてログインしました","","meows as","","Zalogowano jako","","Вы вошли как","","Улогиран као","","Đã đăng nhập với tư cách","","Logór as","","Logged in as","","Connecté en tant que","","Accedi come","","Conectado como","","Inició sesión como",""
"Texture pack",21764891598237696,"","Teksture","","Textures","","Texturen","","Tekstur","","テクスチャ","","meow looks","","Tekstur","","Текстур","","Текстуре","","Kết cấu","","Tekstúra","","Textur","","Textures","","Texture","","Textura","","Texturas",""
